age,121378,5,,5,,,,121379,7,,7,,,,121380,5,,5,,,,121381,5,,5,,,,121382,5,,5,,,,121383,6,,6,,,,121384,7,,7,,,,121386,5,,5,,,
american,121378,4,,1,1,2,,121379,4,,1,1,2,,121380,2,,,1,1,,121381,4,,1,1,2,,121382,4,,1,1,2,,121383,2,,,1,1,,121384,4,,1,1,2,,121386,4,,1,1,2,
area,121378,3,,2,,1,,121379,3,,2,,1,,121380,3,,2,,1,,121381,3,,2,,1,,121382,3,,2,,1,,121383,3,,2,,1,,121384,3,,2,,1,,121386,1,,,,1,
areas,121386,1,,,1,,
average,121378,2,,2,,,,121379,2,,2,,,,121380,3,,3,,,,121381,2,,2,,,,121382,2,,2,,,,121383,3,,3,,,,121384,2,,2,,,,121386,2,,2,,,
bureau,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,1,,,,1,
capita,121378,2,,1,,1,,121379,2,,1,,1,,121380,2,,1,,1,,121381,2,,1,,1,,121382,2,,1,,1,,121383,2,,1,,1,,121384,2,,1,,1,,121386,2,,1,,1,
cdt,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
census,121378,8,,2,1,5,,121379,11,,2,1,8,,121380,9,,4,1,4,,121381,10,,2,1,7,,121382,8,,2,1,5,,121383,9,,4,1,4,,121384,8,,2,1,5,,121386,7,,,1,6,
central,121378,3,,,2,1,,121379,3,,,2,1,,121380,3,,,2,1,,121381,3,,,2,1,,121382,3,,,2,1,,121383,3,,,2,1,,121384,3,,,2,1,,121386,3,,,2,1,
cities,121386,1,,,,,1
city,121386,5,,3,1,1,
code,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
counties,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
countries,121378,2,,,1,1,,121379,2,,,1,1,,121380,2,,,1,1,,121381,2,,,1,1,,121382,2,,,1,1,,121383,2,,,1,1,,121384,2,,,1,1,,121386,2,,,1,1,
country,121378,1,,,1,,,121379,1,,,1,,,121380,1,,,1,,,121381,1,,,1,,,121382,1,,,1,,,121383,1,,,1,,,121384,1,,,1,,,121386,1,,,1,,
county,121377,2,,1,,1,,121378,10,1,2,2,4,1,121379,7,1,1,2,2,1,121380,7,1,1,2,2,1,121381,7,1,1,2,2,1,121382,7,1,1,2,2,1,121383,7,1,1,2,2,1,121384,7,1,1,2,2,1,121385,2,,1,,1,,121386,6,,,3,2,1
couples,121378,1,,1,,,,121379,1,,1,,,,121380,1,,1,,,,121381,1,,1,,,,121382,1,,1,,,,121383,1,,1,,,,121384,1,,1,,,,121386,1,,1,,,
